"date","driving","transit","walking"
"2020.01.13","100","100","100"
"2020.01.14","102.36"," 95.10"," 97.98"
"2020.01.15","105.52"," 91.57"," 92.99"
"2020.01.16","105.87"," 88.28"," 98.30"
"2020.01.17","122.83"," 94.33","148.15"
"2020.01.18","110.76"," 80.73","160.72"
"2020.01.19","78.64","74.12","84.26"
"2020.01.20","95.15","87.05","83.85"
"2020.01.21","100.13"," 93.63"," 87.03"
"2020.01.22","106.04"," 95.50"," 90.43"
"2020.01.23","105.83"," 87.13"," 90.00"
"2020.01.24","122.82"," 97.67","130.07"
"2020.01.25","115.66"," 86.73","172.77"
"2020.01.26","80.93","73.53","88.11"
"2020.01.27","93.99","93.71","82.98"
"2020.01.28","101.13"," 93.36"," 88.16"
"2020.01.29","101.68"," 95.18"," 97.76"
"2020.01.30","103.52"," 91.89","102.95"
"2020.01.31","121.99"," 93.55","129.81"
"2020.02.01","116.51","106.96","155.03"
"2020.02.02","79.34","72.46","87.86"
"2020.02.03","96.77","95.02","93.80"
"2020.02.04","103.04"," 95.96"," 83.76"
"2020.02.05","103.55"," 97.19"," 81.17"
"2020.02.06","102.49"," 94.92"," 84.09"
"2020.02.07","119.22","103.51","119.40"
"2020.02.08","116.83"," 94.57","155.56"
"2020.02.09"," 85.83"," 77.33","121.24"
"2020.02.10","102.73","101.77"," 91.90"
"2020.02.11","107.79"," 97.24"," 93.06"
"2020.02.12","106.02"," 95.32"," 94.07"
"2020.02.13","108.37"," 85.15"," 83.65"
"2020.02.14","132.93"," 99.95","129.49"
"2020.02.15","123.33"," 92.32","151.05"
"2020.02.16","88.73","82.07","92.42"
"2020.02.17","102.97"," 98.77"," 98.95"
"2020.02.18","108.45","103.40","115.66"
"2020.02.19","111.17","103.51","104.03"
"2020.02.20","125.53"," 97.48","100.71"
"2020.02.21","133.54","103.32","141.86"
"2020.02.22","131.59"," 94.25","180.13"
"2020.02.23","88.56","73.67","92.50"
"2020.02.24","101.85"," 94.46"," 90.15"
"2020.02.25","109.04","101.61","102.43"
"2020.02.26","109.72"," 90.53","106.47"
"2020.02.27","116.07"," 89.72","119.75"
"2020.02.28","136.98"," 96.95","141.86"
"2020.02.29","138.57"," 97.65","177.56"
"2020.03.01"," 94.41"," 83.01","109.41"
"2020.03.02","108.14","103.29"," 99.99"
"2020.03.03","119.16","101.15","115.83"
"2020.03.04","117.90"," 95.18","123.63"
"2020.03.05","124.27","107.81","118.97"
"2020.03.06","134.42"," 91.60","122.91"
"2020.03.07","131.35"," 92.48","165.24"
"2020.03.08"," 91.63"," 71.88","102.50"
"2020.03.09","102.17"," 92.11"," 96.54"
"2020.03.10","108.21"," 95.13","104.57"
"2020.03.11","107.69"," 91.87","108.35"
"2020.03.12","105.68"," 83.94"," 94.55"
"2020.03.13","111.25"," 84.85","104.58"
"2020.03.14","88.17","61.63","91.48"
"2020.03.15","68.91","59.94","65.09"
"2020.03.16","79.29","68.08","65.89"
"2020.03.17","73.78","57.77","66.58"
"2020.03.18","67.74","52.26","54.96"
"2020.03.19","66.66","52.72","54.25"
"2020.03.20","76.20","53.65","63.07"
"2020.03.21","60.97","38.59","52.39"
"2020.03.22","43.89","38.75","39.40"
"2020.03.23","60.60","46.99","48.99"
"2020.03.24","58.79","45.12","48.51"
"2020.03.25","52.88","43.30","52.45"
"2020.03.26","54.03","42.55","51.85"
"2020.03.27","58.67","37.97","51.17"
"2020.03.28","50.43","37.49","50.12"
"2020.03.29","41.58","31.71","43.13"
"2020.03.30","56.37","42.82","52.78"
"2020.03.31","55.28","43.14","45.44"
"2020.04.01","56.52","40.59","47.39"
"2020.04.02","59.81","43.97","59.41"
"2020.04.03","67.53","45.01","62.93"
"2020.04.04","55.72","39.10","51.58"
"2020.04.05","43.86","35.83","43.90"
"2020.04.06","59.92","48.60","59.27"
"2020.04.07","61.40","47.61","62.92"
"2020.04.08","63.44","44.66","60.47"
"2020.04.09","64.00","43.11","53.00"
"2020.04.10","72.17","45.06","60.66"
"2020.04.11","63.29","36.55","60.35"
"2020.04.12","40.77","30.40","37.63"
"2020.04.13","65.66","39.23","50.90"
"2020.04.14","67.68","42.23","51.34"
"2020.04.15","71.92","42.41","54.86"
"2020.04.16","74.95","43.14","56.97"
"2020.04.17","76.95","43.94","59.06"
"2020.04.18","77.21","46.78","66.77"
"2020.04.19","57.55","37.06","52.68"
"2020.04.20","79.16","48.35","68.45"
"2020.04.21","77.08","48.30","63.24"
"2020.04.22","79.21","49.91","67.51"
"2020.04.23","74.56","42.07","57.41"
"2020.04.24","95.09","46.19","76.70"
"2020.04.25","77.91","40.30","68.79"
"2020.04.26","61.47","38.83","54.85"
"2020.04.27","81.81","47.87","71.31"
"2020.04.28","83.98","46.91","76.00"
"2020.04.29","77.65","43.27","60.09"
"2020.04.30","82.83","43.08","63.68"
"2020.05.01","100.67"," 49.45"," 86.84"
"2020.05.02","95.51","49.29","92.96"
"2020.05.03","69.20","42.01","62.55"
"2020.05.04","88.31","53.09","75.00"
"2020.05.05","84.22","44.42","69.35"
"2020.05.06","90.58","44.18","81.07"
"2020.05.07","95.19","48.62","83.73"
"2020.05.08","102.40"," 45.92"," 86.10"
"2020.05.09","100.59"," 47.02"," 90.47"
"2020.05.10","70.42","36.61","61.46"
"2020.05.11",NA,"45.49","72.17"
"2020.05.12",NA,"31.66","66.28"
"2020.05.13","98.74","44.63","88.83"
"2020.05.14","100.48"," 47.34"," 93.94"
"2020.05.15","115.49"," 50.47","111.61"
"2020.05.16","112.24"," 52.50","114.66"
"2020.05.17","80.10","40.86","80.55"
"2020.05.18","104.31"," 54.78"," 97.63"
"2020.05.19","104.16"," 51.54"," 95.57"
"2020.05.20","108.28"," 45.20"," 99.95"
"2020.05.21","114.43"," 48.11","107.50"
"2020.05.22","139.67"," 55.98","140.53"
"2020.05.23","116.68"," 51.35","123.66"
"2020.05.24"," 94.13"," 48.54","100.57"
"2020.05.25"," 92.37"," 46.19","100.81"
"2020.05.26","116.01"," 51.43","114.04"
"2020.05.27","115.67"," 55.12","113.64"
"2020.05.28","117.64"," 51.00","114.66"
"2020.05.29","135.29"," 57.16","151.15"
"2020.05.30","131.53"," 54.64","173.05"
"2020.05.31","89.23","44.15","95.14"
"2020.06.01","112.29"," 51.16","108.23"
"2020.06.02","120.15"," 54.48","113.54"
"2020.06.03","117.01"," 54.91","115.70"
"2020.06.04","123.78"," 56.01","120.23"
"2020.06.05","139.49"," 62.27","127.19"
"2020.06.06","141.79"," 55.82","153.44"
"2020.06.07","105.03"," 48.22","103.16"
"2020.06.08","122.31"," 60.02","116.55"
"2020.06.09","121.35"," 55.02","110.79"
"2020.06.10","126.70"," 58.18","118.01"
"2020.06.11","134.63"," 58.58","128.96"
"2020.06.12","149.87"," 60.24","152.61"
"2020.06.13","139.87"," 57.48","146.15"
"2020.06.14","108.20"," 50.01","114.24"
"2020.06.15","127.08"," 59.75","123.88"
"2020.06.16","130.31"," 57.48","128.59"
"2020.06.17","133.54"," 63.47","129.87"
"2020.06.18","139.23"," 62.22","133.59"
"2020.06.19","162.88"," 60.82","168.77"
"2020.06.20","148.38"," 64.95","164.80"
"2020.06.21","102.40"," 51.59"," 97.47"
"2020.06.22","127.34"," 59.86","123.90"
"2020.06.23","133.98"," 58.76","133.16"
"2020.06.24","140.30"," 56.54","142.56"
"2020.06.25","144.82"," 57.10","146.31"
"2020.06.26","168.37"," 65.80","177.70"
"2020.06.27","146.81"," 56.44","159.26"
"2020.06.28","113.17"," 53.39","117.44"
"2020.06.29","133.00"," 60.42","125.03"
"2020.06.30","140.98"," 59.70","135.36"
"2020.07.01","145.30"," 60.66","141.60"
"2020.07.02","153.17"," 63.77","148.24"
"2020.07.03","148.47"," 61.52","162.15"
"2020.07.04","122.27"," 54.43","131.29"
"2020.07.05","110.13"," 48.57","113.99"
"2020.07.06","138.61"," 66.28","157.12"
"2020.07.07","142.41"," 63.47","148.47"
"2020.07.08","146.00"," 62.54","147.62"
"2020.07.09","152.02"," 68.02","156.59"
"2020.07.10","172.64"," 66.93","202.69"
